episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
141,independent,17,-63.73999999999996,57,5,81,0,0.43,0
142,independent,17,-78.48999999999995,57,3,101,0,0.34,0
143,independent,17,-42.02,57,4,91,0,0.51,0
144,independent,17,-52.34000000000003,57,4,104,0,0.39,0
145,independent,17,-69.42999999999996,57,3,86,0,0.47,0
146,independent,17,-56.81000000000003,57,4,101,0,0.38,0
147,independent,17,-73.31999999999996,57,2,102,0,0.4,0
148,independent,17,-4.240000000000012,43,7,55,0,0.43,1
149,independent,17,-66.60000000000005,57,4,96,0,0.37,0
150,independent,17,-80.9500000000001,57,3,83,0,0.43,0
151,independent,17,-89.48999999999995,57,2,86,0,0.43,0
152,independent,17,-61.799999999999976,57,3,93,0,0.47,0
153,independent,17,-63.429999999999986,57,4,80,0,0.48,0
154,independent,17,-58.04999999999997,57,5,91,0,0.39,0
155,independent,17,-95.38999999999994,57,3,90,0,0.34,0
156,independent,17,-94.04999999999983,57,2,87,0,0.38,0
157,independent,17,-45.60000000000003,57,4,98,0,0.45,0
158,independent,17,-104.93999999999994,57,2,80,0,0.41,0
159,independent,17,-57.30000000000001,57,5,76,0,0.5,0
160,independent,17,-50.029999999999994,57,4,88,0,0.5,0
161,independent,17,-92.3899999999999,57,3,93,0,0.34,0
162,independent,17,-43.050000000000026,57,4,93,0,0.5,0
163,independent,17,-57.69999999999999,57,5,87,0,0.41,0
164,independent,17,-29.28000000000002,57,5,95,0,0.51,0
165,independent,17,-58.410000000000004,57,3,98,0,0.44,0
166,independent,17,-79.43999999999998,57,2,95,0,0.41,0
167,independent,17,-97.6099999999999,57,1,91,0,0.39,0
168,independent,17,-64.00999999999995,57,4,83,0,0.46,0
169,independent,17,-69.95999999999998,57,4,79,0,0.46,0
170,independent,17,-32.2,57,6,90,0,0.49,0
171,independent,17,-97.95999999999991,57,2,90,0,0.37,0
172,independent,17,-118.47999999999985,57,4,71,0,0.29,0
173,independent,17,-99.07999999999991,57,2,94,0,0.34,0
174,independent,17,-85.39999999999998,57,2,103,0,0.34,0
175,independent,17,-103.18999999999991,57,2,81,0,0.4,0
176,independent,17,-113.80000000000001,57,1,87,0,0.35,0
177,independent,17,-80.46999999999991,57,3,93,0,0.37,0
178,independent,17,-68.92999999999998,57,3,99,0,0.38,0
179,independent,17,-67.55999999999997,57,2,89,0,0.49,0
180,independent,17,-64.19000000000008,57,2,98,0,0.48,0
181,independent,17,-39.39000000000001,57,4,91,0,0.53,0
182,independent,17,-65.13000000000001,57,3,88,0,0.48,0
183,independent,17,-64.95999999999995,57,2,89,0,0.52,0
184,independent,17,-57.680000000000014,57,2,94,0,0.52,0
185,independent,17,-40.56000000000001,57,4,97,0,0.48,0
186,independent,17,-30.470000000000024,57,5,86,0,0.54,0
187,independent,17,-78.64,57,1,101,0,0.41,0
188,independent,17,-59.44999999999999,57,2,92,0,0.52,0
189,independent,17,-13.720000000000013,57,6,90,0,0.55,0
190,independent,17,-58.130000000000024,57,4,91,0,0.45,0
191,independent,17,-102.94999999999987,57,1,99,0,0.34,0
192,independent,17,-61.51999999999998,57,4,79,0,0.5,0
193,independent,17,-28.95000000000002,57,5,101,0,0.47,0
194,independent,17,-78.85999999999989,57,2,96,0,0.41,0
195,independent,17,-101.25,57,1,94,0,0.38,0
196,independent,17,-76.35000000000007,57,2,81,0,0.53,0
197,independent,17,-87.92999999999996,57,3,81,0,0.43,0
198,independent,17,-34.01000000000002,57,4,105,0,0.48,0
199,independent,17,-16.040000000000017,57,5,82,0,0.63,0
200,independent,17,-46.40999999999997,57,4,77,0,0.57,0
201,independent,17,-100.1899999999999,57,2,104,0,0.28,0
202,independent,17,-81.26999999999992,57,2,94,0,0.42,0
203,independent,17,-91.72999999999993,57,1,89,0,0.44,0
204,independent,17,-45.77000000000002,57,4,98,0,0.48,0
205,independent,17,-100.32999999999988,57,3,79,0,0.38,0
206,independent,17,-54.81999999999998,57,4,100,0,0.4,0
207,independent,17,-62.25000000000001,57,4,78,0,0.5,0
208,independent,17,-62.510000000000005,57,3,94,0,0.45,0
209,independent,17,-51.25000000000003,57,3,99,0,0.47,0
210,independent,17,-46.05000000000003,57,3,89,0,0.54,0
211,independent,17,-100.87999999999988,57,2,95,0,0.3,0
212,independent,17,-46.520000000000024,57,3,95,0,0.51,0
213,independent,17,-57.71999999999998,57,4,85,0,0.47,0
214,independent,17,-58.63000000000004,57,3,92,0,0.49,0
215,independent,17,-47.76000000000001,57,4,84,0,0.55,0
216,independent,17,-67.91000000000003,57,3,88,0,0.47,0
217,independent,17,-74.90999999999997,57,2,110,0,0.34,0
218,independent,17,-16.090000000000014,57,5,83,0,0.62,0
